,id,time,exp,edu,mar,work,offer,owage
52,8,4,2,1,1,0,1,15809.297232743376
53,8,5,2,1,1,0,0,-inf
54,9,0,0,1,1,0,0,-9999.0
55,9,1,0,1,1,0,0,-9999.0
56,9,2,0,1,1,0,1,6611.9279230423235
57,9,3,0,1,1,0,0,-9999.0
58,9,4,0,1,1,1,1,28078.568745230878
59,9,5,1,1,1,0,0,-inf
60,10,0,0,1,1,0,1,34644.960350625195
61,10,1,0,1,1,1,1,36969.945614871816
62,10,2,1,1,1,1,1,22445.81009485062
63,10,3,2,1,1,0,1,25958.81088044096
64,10,4,2,1,1,1,1,62034.14114293971
65,10,5,3,1,1,0,0,-inf
66,11,0,0,1,1,0,0,-9999.0
67,11,1,0,1,1,0,1,10726.726034065192
68,11,2,0,1,1,1,1,125919.90250414248
69,11,3,1,1,1,0,1,14488.958305080669
70,11,4,1,1,1,0,0,-9999.0
71,11,5,1,1,1,0,0,-inf
72,12,0,0,1,1,1,1,25236.762525897997
73,12,1,1,1,1,1,1,829697.6461571688
74,12,2,2,1,1,1,1,27482.76681254171
75,12,3,3,1,1,1,1,63112.370927439355
76,12,4,4,1,1,0,1,22835.727710362626
77,12,5,4,1,1,0,0,-inf
78,13,0,0,1,1,0,0,-9999.0
79,13,1,0,1,1,0,0,-9999.0
80,13,2,0,1,1,0,1,10443.90226416649
81,13,3,0,1,1,0,0,-9999.0
82,13,4,0,1,1,1,1,47239.90364466036
83,13,5,1,1,1,0,0,-inf
84,14,0,0,1,1,0,0,-9999.0
85,14,1,0,1,1,1,1,18362.647266231266
86,14,2,1,1,1,1,1,150868.37477155653
87,14,3,2,1,1,0,1,2364.2836603651713
88,14,4,2,1,1,0,0,-9999.0
89,14,5,2,1,1,0,0,-inf
90,15,0,0,1,1,1,1,26607.96560342407
91,15,1,1,1,1,0,1,7840.347114343423
92,15,2,1,1,1,0,1,46789.69092479844
93,15,3,1,1,1,1,1,36380.776126758115
94,15,4,2,1,1,0,1,10708.542745272707
95,15,5,2,1,1,0,0,-inf
96,16,0,0,1,1,1,1,146316.87658080767
97,16,1,1,1,1,0,1,21613.644532699323
98,16,2,1,1,1,0,0,-9999.0
99,16,3,1,1,1,0,0,-9999.0
100,16,4,1,1,1,0,1,19592.937950796244
101,16,5,1,1,1,0,0,-inf
102,17,0,0,1,1,1,1,533912.1533800658
