Parameter,Value
a_grid,"[-100.   -99.6  -99.2  -98.8  -98.4  -98.   -97.6  -97.2  -96.8  -96.4
  -96.   -95.6  -95.2  -94.8  -94.4  -94.   -93.6  -93.2  -92.8  -92.4
  -92.   -91.6  -91.2  -90.8  -90.4  -90.   -89.6  -89.2  -88.8  -88.4
  -88.   -87.6  -87.2  -86.8  -86.4  -86.   -85.6  -85.2  -84.8  -84.4
  -84.   -83.6  -83.2  -82.8  -82.4  -82.   -81.6  -81.2  -80.8  -80.4
  -80.   -79.6  -79.2  -78.8  -78.4  -78.   -77.6  -77.2  -76.8  -76.4
  -76.   -75.6  -75.2  -74.8  -74.4  -74.   -73.6  -73.2  -72.8  -72.4
  -72.   -71.6  -71.2  -70.8  -70.4  -70.   -69.6  -69.2  -68.8  -68.4
  -68.   -67.6  -67.2  -66.8  -66.4  -66.   -65.6  -65.2  -64.8  -64.4
  -64.   -63.6  -63.2  -62.8  -62.4  -62.   -61.6  -61.2  -60.8  -60.4
  -60.   -59.6  -59.2  -58.8  -58.4  -58.   -57.6  -57.2  -56.8  -56.4
  -56.   -55.6  -55.2  -54.8  -54.4  -54.   -53.6  -53.2  -52.8  -52.4
  -52.   -51.6  -51.2  -50.8  -50.4  -50.   -49.6  -49.2  -48.8  -48.4
  -48.   -47.6  -47.2  -46.8  -46.4  -46.   -45.6  -45.2  -44.8  -44.4
  -44.   -43.6  -43.2  -42.8  -42.4  -42.   -41.6  -41.2  -40.8  -40.4
  -40.   -39.6  -39.2  -38.8  -38.4  -38.   -37.6  -37.2  -36.8  -36.4
  -36.   -35.6  -35.2  -34.8  -34.4  -34.   -33.6  -33.2  -32.8  -32.4
  -32.   -31.6  -31.2  -30.8  -30.4  -30.   -29.6  -29.2  -28.8  -28.4
  -28.   -27.6  -27.2  -26.8  -26.4  -26.   -25.6  -25.2  -24.8  -24.4
  -24.   -23.6  -23.2  -22.8  -22.4  -22.   -21.6  -21.2  -20.8  -20.4
  -20.   -19.6  -19.2  -18.8  -18.4  -18.   -17.6  -17.2  -16.8  -16.4
  -16.   -15.6  -15.2  -14.8  -14.4  -14.   -13.6  -13.2  -12.8  -12.4
  -12.   -11.6  -11.2  -10.8  -10.4  -10.    -9.6   -9.2   -8.8   -8.4
   -8.    -7.6   -7.2   -6.8   -6.4   -6.    -5.6   -5.2   -4.8   -4.4
   -4.    -3.6   -3.2   -2.8   -2.4   -2.    -1.6   -1.2   -0.8   -0.4
    0.     0.4    0.8    1.2    1.6    2.     2.4    2.8    3.2    3.6
    4.     4.4    4.8    5.2    5.6    6.     6.4    6.8    7.2    7.6
    8.     8.4    8.8    9.2    9.6   10.    10.4   10.8   11.2   11.6
   12.    12.4   12.8   13.2   13.6   14.    14.4   14.8   15.2   15.6
   16.    16.4   16.8   17.2   17.6   18.    18.4   18.8   19.2   19.6
   20.    20.4   20.8   21.2   21.6   22.    22.4   22.8   23.2   23.6
   24.    24.4   24.8   25.2   25.6   26.    26.4   26.8   27.2   27.6
   28.    28.4   28.8   29.2   29.6   30.    30.4   30.8   31.2   31.6
   32.    32.4   32.8   33.2   33.6   34.    34.4   34.8   35.2   35.6
   36.    36.4   36.8   37.2   37.6   38.    38.4   38.8   39.2   39.6
   40.    40.4   40.8   41.2   41.6   42.    42.4   42.8   43.2   43.6
   44.    44.4   44.8   45.2   45.6   46.    46.4   46.8   47.2   47.6
   48.    48.4   48.8   49.2   49.6   50.    50.4   50.8   51.2   51.6
   52.    52.4   52.8   53.2   53.6   54.    54.4   54.8   55.2   55.6
   56.    56.4   56.8   57.2   57.6   58.    58.4   58.8   59.2   59.6
   60.    60.4   60.8   61.2   61.6   62.    62.4   62.8   63.2   63.6
   64.    64.4   64.8   65.2   65.6   66.    66.4   66.8   67.2   67.6
   68.    68.4   68.8   69.2   69.6   70.    70.4   70.8   71.2   71.6
   72.    72.4   72.8   73.2   73.6   74.    74.4   74.8   75.2   75.6
   76.    76.4   76.8   77.2   77.6   78.    78.4   78.8   79.2   79.6
   80.    80.4   80.8   81.2   81.6   82.    82.4   82.8   83.2   83.6
   84.    84.4   84.8   85.2   85.6   86.    86.4   86.8   87.2   87.6
   88.    88.4   88.8   89.2   89.6   90.    90.4   90.8   91.2   91.6
   92.    92.4   92.8   93.2   93.6   94.    94.4   94.8   95.2   95.6
   96.    96.4   96.8   97.2   97.6   98.    98.4   98.8   99.2   99.6
  100. ]"
a_grid_size,501
H_type_perm_grid,[0. 1.]
H_type_perm_grid_size,2
H_type_perm_weights,[0.29285249 0.70714754]
H_beg_pop_weights_by_H_type,"[[0.83590466 0.16409537]
 [0.21603563 0.78396434]]"
H_grid,[0. 1.]
H_grid_size,2
H_trans,"[[[[0.88466465 0.11533532]
   [0.71933562 0.28066435]]

  [[0.87736923 0.12263079]
   [0.70549285 0.29450715]]

  [[0.81362128 0.18637873]
   [0.71714836 0.28285164]]

  [[0.85748076 0.14251925]
   [0.82873297 0.17126703]]

  [[0.85112453 0.1488755 ]
   [0.71026331 0.28973669]]

  [[0.86043906 0.13956095]
   [0.70481044 0.29518953]]

  [[0.84935725 0.15064275]
   [0.83075565 0.16924433]]

  [[0.8538022  0.14619781]
   [0.74124706 0.25875297]]

  [[0.84900439 0.15099558]
   [0.74516094 0.25483903]]

  [[0.85551411 0.14448586]
   [0.70547694 0.29452303]]

  [[0.86482894 0.13517107]
   [0.63464612 0.36535385]]

  [[0.87576753 0.1242325 ]
   [0.71823275 0.28176725]]

  [[0.86936504 0.13063496]
   [0.74969739 0.25030258]]

  [[0.86396676 0.13603321]
   [0.68983293 0.31016704]]

  [[0.86991966 0.13008034]
   [0.65509111 0.34490889]]

  [[0.87103719 0.12896283]
   [0.69537127 0.30462873]]

  [[0.85251862 0.14748137]
   [0.75856513 0.24143484]]

  [[0.84745473 0.15254527]
   [0.70151168 0.29848832]]

  [[0.84173995 0.15826002]
   [0.75846356 0.24153642]]

  [[0.83338034 0.16661967]
   [0.68015683 0.3198432 ]]

  [[0.85071409 0.14928594]
   [0.73837399 0.26162601]]

  [[0.84786105 0.15213895]
   [0.68377721 0.31622279]]

  [[0.83681464 0.16318533]
   [0.7047981  0.2952019 ]]

  [[0.85085052 0.14914948]
   [0.76075822 0.23924175]]

  [[0.8557018  0.14429821]
   [0.68169361 0.31830636]]

  [[0.84999013 0.15000986]
   [0.77694124 0.22305876]]

  [[0.87731928 0.12268075]
   [0.68897867 0.3110213 ]]

  [[0.83302206 0.16697796]
   [0.72381914 0.27618089]]

  [[0.87852448 0.12147553]
   [0.73165905 0.26834092]]

  [[0.87743986 0.12256014]
   [0.71283716 0.28716284]]

  [[0.8559466  0.14405338]
   [0.66518664 0.33481336]]

  [[0.87076068 0.12923935]
   [0.67414767 0.3258523 ]]

  [[0.85867238 0.14132762]
   [0.74979883 0.25020117]]

  [[0.86073446 0.13926555]
   [0.72516918 0.27483082]]

  [[0.86081976 0.13918026]
   [0.71934652 0.28065348]]

  [[0.85380167 0.1461983 ]
   [0.69555491 0.30444509]]

  [[0.84697425 0.15302576]
   [0.69257605 0.30742395]]

  [[0.8682465  0.1317535 ]
   [0.70420521 0.29579479]]

  [[0.8872143  0.11278567]
   [0.80050236 0.19949766]]

  [[0.8152411  0.1847589 ]
   [0.6455366  0.3544634 ]]

  [[0.86648208 0.13351794]
   [0.67580742 0.32419261]]

  [[0.86380529 0.13619472]
   [0.72621989 0.27378008]]

  [[0.85610694 0.14389308]
   [0.67197138 0.32802859]]

  [[0.84060425 0.15939574]
   [0.7297529  0.2702471 ]]

  [[0.87817639 0.12182362]
   [0.77960807 0.22039193]]

  [[0.85582978 0.14417022]
   [0.8256126  0.17438743]]

  [[0.84916461 0.15083541]
   [0.64917004 0.35082993]]

  [[0.82860428 0.17139572]
   [0.80416858 0.19583139]]

  [[0.83840102 0.16159897]
   [0.80410373 0.19589627]]

  [[0.82723296 0.17276706]
   [0.81611508 0.18388493]]

  [[0.72715819 0.27284181]
   [0.37514335 0.62485665]]]


 [[[0.28294072 0.71705925]
   [0.20348099 0.79651898]]

  [[0.2855728  0.71442717]
   [0.22921133 0.77078867]]

  [[0.34209594 0.65790409]
   [0.21795827 0.78204173]]

  [[0.41642001 0.58358002]
   [0.2156252  0.78437483]]

  [[0.34561068 0.65438932]
   [0.21590404 0.78409594]]

  [[0.3764317  0.6235683 ]
   [0.22872923 0.77127075]]

  [[0.37556329 0.62443668]
   [0.21141665 0.78858334]]

  [[0.46304882 0.53695118]
   [0.23863959 0.76136041]]

  [[0.3494556  0.6505444 ]
   [0.20963693 0.79036307]]

  [[0.43228608 0.56771392]
   [0.21040106 0.78959894]]

  [[0.42233562 0.57766438]
   [0.21844622 0.78155375]]

  [[0.43588886 0.56411111]
   [0.2080829  0.79191709]]

  [[0.43227145 0.56772858]
   [0.21257757 0.78742242]]

  [[0.38997728 0.61002272]
   [0.214494   0.78550601]]

  [[0.405357   0.594643  ]
   [0.20378701 0.79621297]]

  [[0.41079599 0.58920401]
   [0.17649712 0.8235029 ]]

  [[0.4277285  0.57227153]
   [0.17388242 0.82611758]]

  [[0.38542333 0.6145767 ]
   [0.18849257 0.8115074 ]]

  [[0.37043115 0.62956887]
   [0.18239076 0.81760925]]

  [[0.41443646 0.58556354]
   [0.18161023 0.81838977]]

  [[0.43659464 0.56340539]
   [0.18851492 0.81148505]]

  [[0.45026615 0.54973382]
   [0.19257069 0.80742931]]

  [[0.33296555 0.66703445]
   [0.18512586 0.81487411]]

  [[0.37850061 0.62149936]
   [0.18742168 0.81257832]]

  [[0.3510133  0.6489867 ]
   [0.18181697 0.818183  ]]

  [[0.41119942 0.58880061]
   [0.18404543 0.81595457]]

  [[0.39881632 0.60118371]
   [0.16525897 0.834741  ]]

  [[0.39151925 0.60848075]
   [0.17578602 0.82421398]]

  [[0.39994338 0.60005659]
   [0.15131736 0.84868264]]

  [[0.40447414 0.59552586]
   [0.17539214 0.82460785]]

  [[0.39086527 0.60913473]
   [0.16882305 0.83117694]]

  [[0.36584356 0.63415647]
   [0.16307046 0.83692956]]

  [[0.40962592 0.59037411]
   [0.13820767 0.86179233]]

  [[0.36694998 0.63305002]
   [0.15314093 0.8468591 ]]

  [[0.39279461 0.60720539]
   [0.16502663 0.83497339]]

  [[0.39964592 0.60035408]
   [0.14310867 0.85689133]]

  [[0.38356128 0.61643875]
   [0.14538252 0.85461748]]

  [[0.38222525 0.61777478]
   [0.13186093 0.86813909]]

  [[0.36154187 0.63845813]
   [0.13138455 0.86861545]]

  [[0.35056692 0.64943308]
   [0.12572099 0.87427902]]

  [[0.2959587  0.7040413 ]
   [0.124287   0.87571299]]

  [[0.37713793 0.6228621 ]
   [0.11893887 0.88106114]]

  [[0.3486532  0.6513468 ]
   [0.12415669 0.87584329]]

  [[0.31238917 0.68761086]
   [0.12441266 0.87558734]]

  [[0.35539192 0.64460808]
   [0.14545509 0.85454488]]

  [[0.31158191 0.68841809]
   [0.13490355 0.86509645]]

  [[0.35695422 0.64304578]
   [0.14442739 0.85557258]]

  [[0.33559892 0.66440105]
   [0.15180507 0.8481949 ]]

  [[0.34675354 0.65324646]
   [0.15318257 0.84681743]]

  [[0.34476563 0.65523434]
   [0.13309807 0.86690193]]

  [[0.47587696 0.52412307]
   [0.1767104  0.82328963]]]]"
state_space_shape,"(501, 4, 2, 2, 51)"
state_space_shape_no_j,"(501, 4, 2, 2)"
state_space_no_j_size,8016
state_space_shape_sims,"(4, 2, 1000, 52)"
lab_min,0.0
lab_max,0.8888888888888888
c_min,0.0001
leis_min,0.0
leis_max,1.0
sim_draws,1000
J,51
print_screen,0
interp_eval_points,[0.]
sim_interp_grid_spec,"(-100.0, 100.0, 501)"
start_age,25
end_age,77
age_grid,"[25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
 73 74 75 76]"
path,C:/Users/Ben/My Drive/PhD/PhD Year 3/3rd Year Paper/Model/My Code/MH_Model/my_code/model_uncert/
wage_coeff_grid,"[[ 1.60943791e+00  1.95312500e-02 -3.69071960e-04  0.00000000e+00]
 [ 2.30258509e+00  1.95312500e-02 -3.69071960e-04  0.00000000e+00]
 [ 2.70805020e+00  1.95312500e-02 -3.69071960e-04  0.00000000e+00]
 [ 2.99573227e+00  1.95312500e-02 -3.69071960e-04  0.00000000e+00]]"
wH_coeff,0.02685546875
wage_min,0.0001
max_iters,100
max_calib_iters,100
